multiplier,ticker,cross_date,cross_half,entry_dt,entry_price,exit_dt,exit_price,exit_reason,one_r,pnl_r,phase2
1.50,AAPL,2025-02-07,PM,2025-02-10 09:30:00,228.5879,2025-02-10 10:00:00,228.1796,disaster_stop,0.3784,-1.079,0
1.50,AAPL,2025-02-13,AM,2025-02-13 13:30:00,235.3800,2025-02-13 13:40:00,235.2800,disaster_stop,0.0500,-2.000,0
1.50,AAPL,2025-03-26,PM,2025-03-27 09:30:00,220.4429,2025-03-27 10:50:00,220.5026,chandelier_stop,0.4232,0.141,1
1.50,AAPL,2025-04-02,AM,2025-04-02 13:30:00,221.0300,2025-04-02 14:05:00,221.1800,chandelier_stop,0.1500,1.000,1
1.50,AAPL,2025-04-23,PM,2025-04-24 09:30:00,204.0134,2025-04-24 15:50:00,203.3300,eod_1550,8.6934,-0.079,0
1.50,AAPL,2025-05-12,PM,2025-05-13 09:30:00,209.7882,2025-05-13 09:40:00,209.2000,disaster_stop,0.5384,-1.092,0
1.50,AAPL,2025-06-09,AM,2025-06-09 13:30:00,204.0000,2025-06-09 13:35:00,204.0100,chandelier_stop,0.1000,0.100,1
1.50,AAPL,2025-06-11,AM,2025-06-11 13:30:00,202.1100,2025-06-11 13:40:00,202.1500,chandelier_stop,0.1100,0.364,1
1.50,AAPL,2025-06-24,AM,2025-06-24 13:30:00,203.7100,2025-06-24 13:40:00,203.2900,disaster_stop,0.2600,-1.615,0
1.50,AAPL,2025-08-07,PM,2025-08-08 09:30:00,220.1565,2025-08-08 11:05:00,220.6400,chandelier_stop,2.0765,0.233,1
1.50,AAPL,2025-09-15,PM,2025-09-16 09:30:00,236.7222,2025-09-16 09:40:00,236.5775,chandelier_stop,0.4840,-0.299,1
1.50,AAPL,2025-10-21,AM,2025-10-21 13:30:00,260.6400,2025-10-21 14:00:00,260.8400,chandelier_stop,0.3700,0.541,1
1.50,AAPL,2025-11-24,PM,2025-11-25 09:30:00,275.1200,2025-11-25 11:05:00,274.8700,chandelier_stop,3.6200,-0.069,1
1.50,AAPL,2026-01-29,AM,2026-01-29 13:30:00,257.4100,2026-01-29 13:40:00,257.5300,chandelier_stop,0.1100,1.091,1
1.50,AAPL,2026-02-25,AM,2026-02-25 13:30:00,271.4100,2026-02-25 13:55:00,271.4600,chandelier_stop,0.1200,0.417,1
1.50,AMD,2025-02-04,AM,2025-02-04 13:30:00,115.9200,2025-02-04 14:05:00,115.6700,disaster_stop,0.2200,-1.136,0
1.50,AMD,2025-02-18,AM,2025-02-18 13:30:00,113.8300,2025-02-18 13:45:00,113.7600,disaster_stop,0.0300,-2.333,0
1.50,AMD,2025-03-18,PM,2025-03-19 09:30:00,104.4200,2025-03-19 09:40:00,102.4750,disaster_stop,1.4800,-1.314,0
1.50,AMD,2025-04-25,PM,2025-04-28 09:30:00,95.5750,2025-04-28 15:50:00,95.9300,eod_1550,2.3550,0.151,0
1.50,AMD,2025-09-24,AM,2025-09-24 13:30:00,161.8700,2025-09-24 14:30:00,162.0300,chandelier_stop,0.1900,0.842,1
1.50,AMD,2025-11-13,AM,2025-11-13 13:30:00,256.7800,2025-11-13 13:50:00,256.4100,disaster_stop,0.3500,-1.057,0
1.50,AMD,2025-12-10,AM,2025-12-10 13:30:00,221.8200,2025-12-10 13:35:00,221.8600,chandelier_stop,0.1300,0.308,1
1.50,AMD,2025-12-26,AM,2025-12-26 13:30:00,215.4400,2025-12-26 13:35:00,215.4700,chandelier_stop,0.0400,0.750,1
1.50,AMD,2026-01-15,AM,2026-01-15 13:30:00,228.4200,2026-01-15 14:00:00,228.3700,chandelier_stop,0.0800,-0.625,1
1.50,AMD,2026-02-26,AM,2026-02-26 13:30:00,209.2600,2026-02-26 13:35:00,209.2700,chandelier_stop,0.0100,1.000,1
1.50,AMZN,2025-02-03,PM,2025-02-04 09:30:00,239.0100,2025-02-04 15:50:00,238.4800,eod_1550,5.0000,-0.106,0
1.50,AMZN,2025-03-25,PM,2025-03-26 09:30:00,206.0000,2025-03-26 10:05:00,202.9900,disaster_stop,2.3000,-1.309,0
1.50,AMZN,2025-04-14,PM,2025-04-15 09:30:00,181.6600,2025-04-15 09:45:00,181.2500,disaster_stop,0.2600,-1.577,0
1.50,AMZN,2025-04-25,AM,2025-04-25 13:30:00,188.4500,2025-04-25 13:50:00,187.2400,disaster_stop,1.0000,-1.210,0
1.50,AMZN,2025-06-25,AM,2025-06-25 13:30:00,214.1100,2025-06-25 13:40:00,213.7200,disaster_stop,0.1100,-3.545,0
1.50,AMZN,2025-08-14,PM,2025-08-15 09:30:00,230.8800,2025-08-15 15:50:00,232.5600,eod_1550,5.3800,0.312,0
1.50,AMZN,2025-08-25,AM,2025-08-25 13:30:00,227.4500,2025-08-25 13:35:00,227.5700,chandelier_stop,0.1600,0.750,1
1.50,AMZN,2025-09-04,AM,2025-09-04 13:30:00,229.4900,2025-09-04 14:05:00,229.5700,chandelier_stop,0.1600,0.500,1
1.50,AMZN,2025-09-16,AM,2025-09-16 13:30:00,233.4800,2025-09-16 13:40:00,233.1600,disaster_stop,0.2300,-1.391,0
1.50,AMZN,2025-10-10,AM,2025-10-10 13:30:00,226.5500,2025-10-10 13:35:00,226.6000,chandelier_stop,0.0500,1.000,1
1.50,AMZN,2025-10-24,AM,2025-10-24 13:30:00,220.5300,2025-10-24 15:30:00,220.4300,chandelier_stop,0.2500,-0.400,1
1.50,AMZN,2025-12-01,PM,2025-12-02 09:30:00,234.7200,2025-12-02 15:50:00,236.1300,eod_1550,3.5400,0.398,0
